district,state,POPULATION ,date,dose_1,dose_2,confirmed,deceased,recovered,tested
Katihar,BR,3068149,31/01/21,1451838,403046,18145,94,18051,556438
Warangal Urban,TG,1135707,,687410,418947,0,0,0,556496.43
Jhargram,WB,1136548,,714456,211586,12135,27,12063,556908.52
Gopalganj,BR,2558037,31/01/21,1286763,481968,16685,94,16591,562654
Sivasagar,AS,1150253,,478954,223921,0,0,0,563623.97
Purnia,BR,3273127,05/01/21,1603099,729224,24427,180,24247,568756
Singrauli,MP,1178132,,740335,224966,8801,82,8706,577284.68
Bhagalpur,BR,3032226,31/01/21,1494951,650332,25840,309,25531,582113
Washim,MH,1196714,,579042,321710,41663,637,41020,586389.86
Nalanda,BR,2872523,31/01/21,1393762,638181,23432,468,22964,591346
Varanasi,UP,3682194,31/01/21,2109381,843905,85501,971,84528,595510
Karimganj,AS,1217002,,681216,203575,0,0,0,596330.98
Jodhpur,RJ,3685681,01/02/21,2263325,1036743,112412,1103,111308,600959
Samastipur,BR,4254782,31/01/21,1991102,555728,20020,155,19864,614569
Kamrup Metropolitan,AS,1260419,,1246239,875897,0,0,0,617605.31
Srinagar,JK,1269751,,957347,592016,75539,846,74242,622177.99
Solapur,MH,4315527,30/01/21,2242339,690069,210466,5551,204364,629266
Kasaragod,KL,1302600,,910194,521754,138815,617,134824,638274
Thrissur,KL,3110327,01/01/21,2295947,1305873,523260,3575,515481,639055
Bhadradri Kothagudem,TG,1304811,,599183,204318,0,0,0,639357.39
Tinsukia,AS,1316948,,795057,286170,0,0,0,645304.52
Mahabubabad,TG,1318110,,468199,172007,0,0,0,645873.9
Garhwa,JH,1322387,,456056,148421,6895,94,6801,647969.63
Srikakulam,AP,2699471,26/11/20,1630248,974734,123109,786,122136,670899
Y.S.R. Kadapa,AP,2884524,26/11/20,1824032,1328711,115623,644,114904,671761
Gautam Buddha Nagar,UP,1674714,24/01/21,1799728,974353,63353,467,62876,675396
Patna,BR,5772804,31/01/21,3421614,2366474,147007,2334,144651,676238
S.P.S. Nellore,AP,2966082,26/11/20,2143402,1403240,146388,1053,144919,682964
Kanpur Nagar,UP,4572951,10/01/21,2251558,859280,82933,1905,81024,685820
Khammam,TG,1401639,,856707,333812,0,0,0,686803.11
Vadodara,GJ,3639775,02/02/21,2612578,1940514,78159,788,77335,695670
Prakasam,AP,3392764,26/11/20,2321031,1521177,138482,1124,136989,697340
Ghaziabad,UP,4661452,24/01/21,2247039,1071908,55673,461,55207,712611
Madhubani,BR,4476044,31/01/21,1974159,680214,18365,339,18023,715168
Muzaffarpur,BR,4778610,31/01/21,2253919,717015,31398,621,30777,722651
Bargarh,OR,1478833,,829092,283966,31126,335,30762,724628.17
Prayagraj,UP,5959798,14/01/21,2731341,862244,78699,1088,77609,729300
Rajkot,GJ,3157676,02/02/21,2227111,1255012,57976,725,57243,731251
West Singhbhum,JH,1501619,,630437,225607,13054,133,12918,735793.31
Gurugram,HR,1514085,30/01/21,2193114,1377160,181428,922,180454,742619
Kamrup,AS,1517202,,1079092,409628,0,0,0,743428.98
Visakhapatnam,AP,4288113,26/11/20,2999432,1864960,157737,1127,156492,744983
Jammu,JK,1526406,,1168448,610537,53324,1145,52145,747938.94
Sangareddy,TG,1527628,,851395,299316,0,0,0,748537.72
Ganjam,OR,3520151,31/01/21,2214981,1698328,33849,485,33342,750442
Nizamabad,TG,1534428,,858574,250862,0,0,0,751869.72
Saran,BR,3943098,31/01/21,1868014,736766,23278,255,23020,761473
Indore,MP,3272335,31/01/21,2951024,1728945,153230,1391,151410,780266
Chittoor,AP,4170468,26/11/20,2832987,1807873,246935,1947,244144,780322
Krishna,AP,4529009,26/11/20,2971604,1914927,119348,1430,117130,782232
Anantapur,AP,4083315,26/11/20,2690082,1611476,157843,1093,156699,787085
Ratnagiri,MH,1612672,,920151,388703,78950,2478,76292,790209.28
Chandigarh,CH,1055450,31/10/21,926035,546981,65351,820,64495,792851
West Godavari,AP,3934782,26/11/20,2525317,1778807,179077,1117,177680,793098
Meerut,UP,3447405,31/01/21,1764744,842448,69480,898,68567,798404
Nalgonda,TG,1631399,,891308,254218,0,0,0,799385.51
Dakshin Dinajpur,WB,1670931,,1063493,363056,17889,170,17573,818756.19
Barpeta,AS,1693190,,1095048,448006,0,0,0,829663.1
Alipurduar,WB,1700000,,949775,353666,15589,102,15441,833000
Guntur,AP,4889230,26/11/20,3440118,1891773,178068,1237,176629,833823
Hazaribagh,JH,1734005,,865943,317137,19593,186,19404,849662.45
Cachar,AS,1736319,,1101266,402535,0,0,0,850796.31
Kurnool,AP,4046601,26/11/20,2672759,1290419,124142,853,123264,867361
Gaya,BR,4379383,31/01/21,1925234,722746,33952,280,33672,872359
Akola,MH,1818617,,760099,357931,58764,1425,57318,891122.33
Darjeeling,WB,1842034,,1324555,664306,57143,539,56326,902596.66
Sonitpur,AS,1925975,,767841,434213,0,0,0,943727.75
East Godavari,AP,5151549,26/11/20,3532220,1990578,293836,1290,291610,944746
Palamu,JH,1936319,,788026,311074,12294,110,12184,948796.31
Dhubri,AS,1948632,,945264,229696,0,0,0,954829.68
Kozhikode,KL,3089543,01/01/21,2341296,1154561,527346,3374,519030,955060
Jaipur,RJ,6663971,01/02/21,4582410,2189042,187804,1970,185816,968783
Kottayam,KL,1979384,,1477425,841596,322484,1356,315759,969898.16
Sundargarh,OR,2080664,,1122762,490428,61841,594,61167,1019525.36
Alappuzha,KL,2121943,,1518055,855411,316160,1862,313515,1039752.07
Khordha,OR,2246341,,2063646,1502538,175335,1552,171938,1100707.09
East Singhbhum,JH,2291032,,1424376,661091,51974,1046,50907,1122605.68
Latur,MH,2455543,,1182476,507616,92133,2437,89608,1203216.07
Thane,MH,11060148,04/11/20,5484839,2751182,610128,11462,597141,1229625
Lucknow,UP,4588455,13/12/20,3106658,1488333,238839,2651,236165,1237583
Medchal Malkajgiri,TG,2542203,,2149958,1317832,0,0,0,1245679.47
Ranga Reddy,TG,2551731,,2348542,1291404,0,0,0,1250348.19
Kollam,KL,2629703,,1951077,1047951,390872,2451,383923,1288554.47
Dhanbad,JH,2682662,,1185934,446946,16589,382,16196,1314504.38
Sangli,MH,2820575,,1810980,802877,209771,5613,203673,1382081.75
Cooch Behar,WB,2822780,,1444232,421663,29275,97,29060,1383162.2
Nagaon,AS,2826006,,1203831,448081,0,0,0,1384742.94
Paschim Bardhaman,WB,2882031,,1789611,677747,57778,356,57184,1412195.19
Amravati,MH,2887826,,1241168,548807,96231,1594,94618,1415034.74
Ranchi,JH,2912022,,1512114,656001,86116,1585,84495,1426890.78
Purulia,WB,2927965,,1679941,492310,19419,113,19283,1434702.85
Uttar Dinajpur,WB,3000849,,1341457,436182,19858,238,19559,1470416.01
Ernakulam,KL,3279860,,2953482,1759232,602800,3555,583842,1607131.4
Hyderabad,TG,3441992,,3150245,1893217,0,0,0,1686576.08
Birbhum,WB,3502387,,2152966,846286,41197,286,40727,1716169.63
Bankura,WB,3596292,,2245147,706177,36313,274,35839,1762183.08
Jalpaiguri,WB,3869675,,1144138,410719,41982,572,41256,1896140.75
Kolhapur,MH,3874015,,2536731,1043329,206671,5847,200699,1898267.35
Surat,GJ,4996391,02/02/21,4781894,2529712,143874,1956,141885,1938229
Malda,WB,3997970,,2029144,590497,33406,186,33121,1959005.3
Purba Medinipur,WB,4417377,,3560589,1471674,63098,397,62549,2164514.73
Kolkata,WB,4486679,,4784084,3039486,322541,5152,315146,2198472.71
Purba Bardhaman,WB,4835532,,2596246,859528,42005,198,41588,2369410.68
Howrah,WB,4841638,,2905925,1254076,98757,1524,96567,2372402.62
Paschim Medinipur,WB,5094238,,2758576,877978,53581,507,52820,2496176.62
Nadia,WB,5168488,,2798942,884320,73333,859,72054,2532559.12
Ahmedabad,GJ,7208200,02/02/21,5961594,3439921,238334,3411,234889,2556492
Chennai,TN,7100000,01/02/21,4532809,2671294,554672,8546,544701,2667777
Hooghly,WB,5520389,,3368156,1343978,86300,990,84650,2704990.61
Mumbai,MH,12442373,29/01/21,9115615,5564204,756749,16247,733318,2789713
Murshidabad,WB,7102430,,3952659,976111,33993,328,33605,3480190.7
South 24 Parganas,WB,8153176,,4850898,1832073,100957,1336,98950,3995056.24
North 24 Parganas,WB,10082852,,6547702,2720315,329257,4833,323097,4940597.48
Bengaluru Urban,KA,9588910,31/01/21,9219875,5903791,1251872,16281,1229059,6883888
Delhi,DL,19814000,31/10/21,13055636,7425404,1439870,25091,1414431,29427753
